acct_id,invoice_balance,total_bought,total_paid,total_owed,ticket_bought,ticket_paid,ticket_owed,sc_bought,sc_paid,sc_owed,donations_pledged,donations_received,donations_owed,on_account_payments,other,charge_back_count,charge_back_amount,acct_type_desc,tag
144154,1005,26373.6,29768.6,-3395,26358.6,26358.6,0,15,10,5,0,0,0,3400,0,0,0,Personal,
144169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
144170,0,10,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,Personal,
144188,1005,24005.6,28800.6,-4795,24000.6,24000.6,0,5,0,5,0,0,0,4800,0,0,0,Personal,
144196,1010,31606.5,79096.5,-47490,31596.5,60096.5,-28500,10,0,10,0,0,0,19000,0,0,0,Personal,
144204,5,10632.81,10630,2.81,10540,10540,0,92.81,87.81,5,0,0,0,0,0,0,0,Personal,
144212,0,5391.6,5391.6,0,5336.6,5336.6,0,55,55,0,0,0,0,0,0,0,0,Personal,
144228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
144238,5,221,216,5,211,211,0,10,5,5,0,0,0,0,0,0,0,Personal,
144246,605,26820.6,31920.6,-5100,26800.6,26800.6,0,20,15,5,0,0,0,4840,0,0,0,Personal,
144253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Staff,
144261,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,Personal,
144279,0,1000,1000,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,Personal,
144289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
144295,0,0,1999.67,-1999.67,0,1999.67,-1999.67,0,0,0,0,0,0,0,0,0,0,Personal,
144303,15,45,30,15,0,0,0,45,30,15,0,0,0,0,0,0,0,Personal,
144311,0,4350.3,4350.3,0,4350.3,4350.3,0,0,0,0,0,0,0,0,0,0,0,Personal,
144329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
144337,5,145,140,5,87.25,87.25,0,57.75,52.75,5,0,0,0,0,0,0,0,Personal,
144345,600,37162.8,38708.8,-1546,37152.8,37152.8,0,10,10,0,0,0,0,1546,0,0,0,Personal,
144352,4000,16396.2,17441.2,-1045,16381.2,17381.2,-1000,15,15,0,0,0,0,0,0,0,0,Personal,
144364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
144378,0,10240.44,10240.44,0,10240.44,10240.44,0,0,0,0,0,0,0,0,0,0,0,Personal,
144386,5,26323.6,30818.6,-4495,26318.6,26318.6,0,5,0,5,0,0,0,4500,0,0,0,Personal,
144394,0,8882.04,2774.04,6108,8867.04,2759.04,6108,15,15,0,0,0,0,0,0,0,0,Personal,
144402,0,9.58,4009.58,-4000,4.64,4004.64,-4000,4.94,4.94,0,0,0,0,0,0,0,0,Personal,
144410,5,18041.02,22318.6,-4277.58,17378.6,17378.6,0,662.42,657.42,5,0,0,0,4020,0,0,0,Personal,
144428,2500,2245,2213.95,31.05,1349.05,1349.05,0,895.95,864.9,31.05,0,0,0,0,0,0,0,Personal,
144436,0,1186.19,1186.19,0,1042.66,1042.66,0,143.53,143.53,0,0,0,0,0,0,0,0,Personal,
144448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
144451,5,215,210,5,123.9,123.9,0,91.1,86.1,5,0,0,0,0,0,0,0,Personal,
144469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
144477,11692,29095.6,18403.6,10692,29085.6,18398.6,10687,10,5,5,0,0,0,0,0,0,0,Personal,
144485,0,20,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0,Personal,
144493,2986.5,11652.8,9166.3,2486.5,11650.3,9166.3,2484,2.5,0,2.5,0,0,0,0,0,0,0,Personal,
144501,2000,16966.2,24326.2,-7360,16961.2,20761.2,-3800,5,5,0,0,0,0,3560,0,0,0,Personal,
144519,7.5,7.5,0,7.5,0,0,0,7.5,0,7.5,0,0,0,0,0,0,0,Personal,
144527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
144535,0,4568.4,2203.5,2364.9,4568.4,2203.5,2364.9,0,0,0,0,0,0,0,0,0,0,Personal,
144543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
144550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
144568,405,26223.2,29577.6,-3354.4,26137.6,26137.6,0,85.6,80.6,5,0,0,0,3340,0,0,0,Personal,
144576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
144584,805,15882.6,31877.6,-15995,15877.6,25877.6,-10000,5,0,5,0,0,0,6000,0,0,0,Personal,
144592,1010,26410.6,31680.6,-5270,26400.6,26400.6,0,10,0,10,0,0,0,5280,0,0,0,Personal,
144600,30,60,48030,-47970,0,48000,-48000,60,30,30,0,0,0,0,0,0,0,Personal,
144618,502.5,8102.8,10550.3,-2447.5,8100.3,9600.3,-1500,2.5,0,2.5,0,0,0,950,0,0,0,Personal,
144626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
144634,0,14091.6,16122,-2030.4,13645,15645,-2000,446.6,446.6,0,0,0,0,0,0,0,0,Personal,
144642,5,59072.45,59067.45,5,59062.45,59062.45,0,10,5,5,0,0,0,0,0,0,0,Personal,
144659,5,35458.6,35453.6,5,35448.6,35448.6,0,10,5,5,0,0,0,0,0,0,0,Personal,
144668,5,20404.2,36399.2,-15995,20399.2,36399.2,-16000,5,0,5,0,0,0,0,0,0,0,Centenary Club,
144670,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
144681,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
144697,5,20,15,5,0,0,0,20,15,5,0,0,0,0,0,0,0,Centenary Club,
144708,2.5,2.5,0,2.5,0,0,0,2.5,0,2.5,0,0,0,0,0,0,0,Centenary Club,
144718,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
144720,5,5,5600,-5595,0,5600,-5600,5,0,5,0,0,0,0,0,0,0,Centenary Club,
144730,5,128.16,123.16,5,4.78,4.78,0,123.38,118.38,5,0,0,0,0,0,0,0,Centenary Club,
144742,5,5.7,0.7,5,0.7,0.7,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
144753,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
144764,2.5,2.5,0,2.5,0,0,0,2.5,0,2.5,0,0,0,0,0,0,0,Centenary Club,
144775,1005,16212.08,18960.6,-2748.52,16110.6,16110.6,0,101.48,96.48,5,0,0,0,2700,0,0,0,Centenary Club,
144787,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
144798,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
144800,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,Centenary Club,
144819,0,20,15,5,0,0,0,20,15,5,0,0,0,0,0,0,0,Centenary Club,
